,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
208,207,Pinnacle Health System,PA,"Gair Medical Transcription Services, Inc.",1085,10/01/08,Unauthorized Access/Disclosure,Network Server,23/01/14,,01/10/08,NA,2008
209,208,"Gary C. Spinks, DMD, PC",MD,,1000,9/29/2010,Hacking/IT Incident,"Desktop Computer, Network Server",23/01/14,,29/09/10,NA,2010
210,209,Cook County Health & Hospitals System,IL,,556,11/01/10,Theft,Desktop Computer,23/01/14,,01/11/10,NA,2010
211,210,"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,,3288,11/08/10,Theft,Laptop,23/01/14,,08/11/10,NA,2010
212,211,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,,1000,3/29/2003,Improper Disposal,Paper,23/01/14,,29/03/03,NA,2003
213,212,California Therapy Solutions,CA,,1250,11/11/10,Theft,"Other Portable Electronic Device, Other",23/01/14,,11/11/10,NA,2010
214,213,Osceola Medical Center,WI,Hils Transcription,585,11/25/2010,Unauthorized Access/Disclosure,Other,23/01/14,,25/11/10,NA,2010
215,214,Indiana Family and Social Services Administration,IN,The Southwestern Indiana Regional Council on Aging,757,11/04/10,Theft,Laptop,23/01/14,,04/11/10,NA,2010
216,215,Mankato Clinic,MN,,3159,11/01/10,Theft,Laptop,23/01/14,,01/11/10,NA,2010
217,216,Geisinger Wyoming Valley Medical Center,PA,,2928,11/03/10,Unauthorized Access/Disclosure,E-mail,23/01/14,,03/11/10,NA,2010
218,217,Our Lady of Peace Hospital,KY,,24600,3/31/2010,"Theft, Loss","Other Portable Electronic Device, Other",23/01/14,,31/03/10,NA,2010
219,218,International Union of Operating Engineers Health and Welfare Fund ,MD,"Zenith Administrators, Inc.",800,10/25/2010,Theft,Paper,23/01/14,,25/10/10,NA,2010
220,219,"Southern Perioperative Services, P.C.",AL,,2000,11/17/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,17/11/10,NA,2010
221,220,Keystone/AmeriHealth Mercy Health Plans,PA,,808,9/20/2010,Loss,"Other Portable Electronic Device, Other",23/01/14,,20/09/10,NA,2010
222,221,"Ankle + Foot Center of Tampa Bay, Inc.",FL,,156000,10/28/2010,Theft,Network Server,30/06/14,,28/10/10,NA,2010
223,222,OhioHealth Corporation dba Grant Medical Center,OH,,501,01/01/08,Theft,"Laptop, Desktop Computer",23/01/14,,01/01/08,NA,2008
224,223,"Seacoast Radiology, PA",NH,,231400,11/12/10,Hacking/IT Incident,Network Server,23/01/14,,12/11/10,NA,2010
225,224,Friendship Center Dental Office,FL,,2200,12/19/2010,Theft,Laptop,23/01/14,,19/12/10,NA,2010
226,225,Centra,VA,,11982,11/11/10,Theft,Laptop,23/01/14,,11/11/10,NA,2010
227,226,St.Vincent Hospital - Indianapolis,IN,,1848,11/12/10,Hacking/IT Incident,"Network Server, E-mail",23/01/14,,12/11/10,NA,2010
228,227,Texas Health Harris Methodist Hospital Azle,TX,,9922,04/07/10,"Theft, Loss","Other Portable Electronic Device, Other",23/01/14,,07/04/10,NA,2010
229,228,Franciscan Medical Group,WA,,1250,11/18/2010,Theft,Desktop Computer,23/01/14,,18/11/10,NA,2010
230,229,State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,,5596,11/08/10,Hacking/IT Incident,Desktop Computer,23/01/14,,08/11/10,NA,2010
231,230,Lake Woods Nursing & Rehabilitation Center,MI,,656,12/28/2010,Theft,"Laptop, Desktop Computer",23/01/14,,28/12/10,NA,2010
232,231,"Benefit Resources, Inc.",SC,Travis Software Corp.,16200,10/13/2010,Loss,"Other Portable Electronic Device, Other",23/01/14,,13/10/10,NA,2010
233,232,Baptist Memorial Hospital - Huntingdon,TN,J. A. Still Corporation,4800,11/27/2010,Theft,Other,23/04/14,,27/11/10,NA,2010
234,233,"Grays Harbor Pediatrics, PLLC",WA,,12009,11/23/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,23/11/10,NA,2010
235,234,"Hanger Prosthetics & Orthotics, Inc.",TX,,4486,11/24/2010,Theft,Laptop,23/01/14,,24/11/10,NA,2010
236,235,Baylor Heart and Vascular Center,TX,,8241,12/02/10,Theft,"Other Portable Electronic Device, Other",23/04/14,,02/12/10,NA,2010
237,236,"CHC MEMPHIS CMHC, LLC",TN,,500,12/04/10,Theft,Desktop Computer,23/01/14,,04/12/10,NA,2010
238,237,Jefferson Center for Mental Health,CO,,546,12/13/2010,Theft,Paper,23/01/14,,13/12/10,NA,2010
239,238,Green River District Health Department,KY,Integranetics,18871,01/12/11,Hacking/IT Incident,Network Server,23/01/14,,12/01/11,NA,2011
240,239,"Ortho Montana, PSC",MT,,37000,01/08/11,"Theft, Loss",Laptop,14/02/14,,08/01/11,NA,2011
241,240,Cancer Care Northwest P.S.,WA,,3100,01/07/11,Theft,Paper,30/06/14,,07/01/11,NA,2011
242,241,Saint Louis University,MO,,800,12/11/10,Hacking/IT Incident,Desktop Computer,23/01/14,,11/12/10,NA,2010
243,242,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,NY,GRM Information Management Services,1700000,12/23/2010,Theft,"Other, Electronic Medical Record",28/05/14,,23/12/10,NA,2010
244,243,Long Beach Memorial Medical Center,CA,,2250,12/10/10,Unauthorized Access/Disclosure,Other,23/01/14,,10/12/10,NA,2010
245,244,Walgreen Co.,IL,Business Express,2700,1/26/2011,Theft,"Other Portable Electronic Device, Other",10/06/14,,26/01/11,NA,2011
246,245,"Charleston Area Medical Center, Inc",WV,Xforia Web Services,3655,02/08/11,Unauthorized Access/Disclosure,Network Server,23/01/14,,08/02/11,NA,2011
247,246,Mountain Vista Medical Center,AZ,,2291,10/13/2010,Loss,"Other Portable Electronic Device, Other",23/01/14,,13/10/10,NA,2010
248,247,Departamento de Salud de Puerto Rico,PR,,2621,3/14/2010,Unknown,Desktop Computer,23/01/14,,14/03/10,NA,2010
249,248,Henry Ford Hospital,MI,,2777,1/31/2011,Loss,"Other Portable Electronic Device, Other",23/01/14,,31/01/11,NA,2011
250,249,"Central Brooklyn Medical Group, PC",NY,,500,08/03/10,Theft,Paper,20/06/14,,03/08/10,NA,2010
251,250,TRICARE Management Activity,CO,,4500,6/25/2010,Unauthorized Access/Disclosure,Paper,23/01/14,,25/06/10,NA,2010
252,251,Blue Cross and Blue Shield of Florida ,FL,,7366,10/16/2010,Unknown,Other,23/01/14,,16/10/10,NA,2010
253,252,"University Health Services, University of Massachusetts, Amherst",MA,,942,9/29/2010,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,29/09/10,NA,2010
254,253,"Omnicare, Inc",KY,,8845,1/19/2011,Theft,Laptop,23/01/14,,19/01/11,NA,2011
255,254,"JEFFREY J. SMITH, MD",OK,,600,11/24/2010,Loss,"Desktop Computer, Other Portable Electronic Device, Other",23/01/14,,24/11/10,NA,2010
256,255,University of Missouri Health Plan,MO,"Coventry Health Care, Inc.",765,01/10/11,Unauthorized Access/Disclosure,Paper,23/01/14,,10/01/11,NA,2011
257,256,Texas Health Arlington Memorial Hospital,TX,,654,12/23/2010,Unknown,Electronic Medical Record,23/01/14,,23/12/10,NA,2010
258,257,NYU School of Medicine Faculty Group Practice,NY,,670,1/27/2011,Theft,Desktop Computer,19/06/14,,27/01/11,NA,2011
259,258,"Rape & Brooks Orthodontics, P.C.",AL,,20744,02/03/11,Theft,"Desktop Computer, Network Server, Other Portable Electronic Device, Other",23/01/14,,03/02/11,NA,2011
260,259,Clarksburg - Louis A. Johnson VA Medical Center,WV,,1470,10/26/2010,Unauthorized Access/Disclosure,Paper,23/01/14,,26/10/10,NA,2010
261,260,County of Los Angeles,CA,,667,2/23/2011,Theft,Laptop,23/01/14,,23/02/11,NA,2011
262,261,EISENHOWER MEDICAL CENTER,CA,,514330,03/11/11,Theft,Desktop Computer,23/01/14,,11/03/11,NA,2011
263,262,Catholic Social Services,AK,Trisha Elaine Cordova,1700,02/01/11,Theft,Laptop,30/06/14,,01/02/11,NA,2011
264,263,"Park Avenue Obstetrics & Gynecology, PC",AZ,,635,3/25/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,25/03/11,NA,2011
265,264,"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,,10000,03/01/11,Theft,"Other Portable Electronic Device, Other",23/01/14,,01/03/11,NA,2011
266,265,MidState Medical Center,CT,Hartford Hospital,93500,2/14/2011,Loss,Other,23/01/14,,14/02/11,NA,2011
267,266,"Patient Care Services at Saint Francis, Inc.",OK,,84000,1/13/2011,Theft,Network Server,13/03/14,,13/01/11,NA,2011
268,267,Union Security Insurance Company,MO,,935,2/18/2011,Unauthorized Access/Disclosure,Other,23/01/14,,18/02/11,NA,2011
269,268,Oklaholma State Dept. of Health,OK,,132940,04/06/11,Theft,"Laptop, Paper",23/04/14,,06/04/11,NA,2011
270,269,Aiken Community Based Outpatient Clinic,SC,,2717,2/16/2011,Improper Disposal,Paper,23/01/14,,16/02/11,NA,2011
271,270,"Health Net, Inc.",CA,IBM,1900000,1/21/2011,Unknown,Other,23/01/14,,21/01/11,NA,2011
272,271,SW General Inc,AZ,,566,05/01/04,Theft,Paper,23/01/14,,01/05/04,NA,2004
273,272,Fairview Health Services,MN,,1215,2/19/2011,Loss,Paper,23/01/14,,19/02/11,NA,2011
274,273,Time Insurance Company,WI,"Healthcare Solutions Team, LLC",675,02/01/11,Unauthorized Access/Disclosure,Other,23/04/14,,01/02/11,NA,2011
275,274,Community Action partnership of Natrona County,WY,,15000,2/23/2011,Hacking/IT Incident,Desktop Computer,23/01/14,,23/02/11,NA,2011
276,275,"Keith & Fisher, DDS, PA",NC,,6000,2/16/2011,Hacking/IT Incident,Network Server,23/01/14,,16/02/11,NA,2011
277,276,MacNeal Hospital,IL,,845,03/10/11,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",24/03/14,,10/03/11,NA,2011
278,277,West Lake Hospital ,IL,,686,03/10/11,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",24/03/14,,10/03/11,NA,2011
279,278,Phoenix Health Plan,AZ,,9393,03/10/11,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",23/04/14,,10/03/11,NA,2011
280,279,MacNeal Physician Group,IL,,532,03/10/11,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",24/03/14,,10/03/11,NA,2011
281,280,Genesis Clinical Laboratory,IL,,1070,03/10/11,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",24/03/14,,10/03/11,NA,2011
282,281,Knox Community Hospital,OH,,500,10/01/10,Improper Disposal,Other,23/01/14,,01/10/10,NA,2010
283,282,Speare Memorial Hospital,NH,,5960,04/02/11,Theft,Laptop,13/03/14,,02/04/11,NA,2011
284,283,Methodist Charlton Medical Center,TX,,1500,4/16/2011,Theft,Laptop,23/01/14,,16/04/11,NA,2011
285,284,Drs Edalji and Komer,MA,,563,04/12/11,Theft,Laptop,23/01/14,,12/04/11,NA,2011
286,285,Reid Hospital & Health Care Services,IN,,22001,04/02/11,Theft,Laptop,23/01/14,,02/04/11,NA,2011
287,286,Union Security Insurance Company,MO,,850,3/24/2011,Unauthorized Access/Disclosure,Other,23/01/14,,24/03/11,NA,2011
288,287,Indiana Regional Medical Center,PA,,1388,9/28/2010,Theft,Paper,23/01/14,,28/09/10,NA,2010
289,288,"MMM Healthcare, Inc.",PR,,32390,03/08/11,Theft,Desktop Computer,23/01/14,,08/03/11,NA,2011
290,289,PMC Medicare Choice,PR,,24361,03/08/11,Theft,Desktop Computer,23/01/14,,08/03/11,NA,2011
291,290,CVS CAREMARK,AZ,,654,1/17/2011,"Theft, Unauthorized Access/Disclosure",Paper,23/04/14,,17/01/11,NA,2011
292,291,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,,8000,01/01/11,Theft,"Other, Paper",23/01/14,,01/01/11,NA,2011
293,292,"Robert B. Miller, MD",CA,,620,04/01/11,Theft,Laptop,23/01/14,,01/04/11,NA,2011
294,293,Imaging Center of Garland,TX,,1031,3/15/2011,Improper Disposal,Other,23/01/14,,15/03/11,NA,2011
295,294,New York State Department of Health,NY,St. Mary's Hospital for Children,550,4/17/2011,Theft,Paper,03/06/14,,17/04/11,NA,2011
296,295,St. Mary's Hospital for Children,NY,,550,4/17/2011,Theft,Paper,02/06/14,,17/04/11,NA,2011
297,296,Medicare Fee-for-Service Program,MD,"Cahaba Government Benefit Administrators, LLC",13412,04/11/11,Unauthorized Access/Disclosure,Paper,23/01/14,,11/04/11,NA,2011
298,297,VA Caribbean Healthcare System,PR,,6006,3/30/2011,Theft,Paper,19/06/14,,30/03/11,NA,2011
299,298,Blue Cross Blue Shield of Michigan,MI,Agent Benefits Corporation,11387,11/17/2010,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,17/11/10,NA,2010
300,299,Spartanburg Regional Healthcare System,SC,,400000,3/28/2011,Theft,Desktop Computer,23/01/14,,28/03/11,NA,2011
301,300,Saint Joseph - Berea,KY,,1986,4/14/2011,"Theft, Loss","Other Portable Electronic Device, Other",23/04/14,,14/04/11,NA,2011
302,301,Navos,WA,,2700,3/15/2011,Unknown,Paper,23/01/14,,15/03/11,NA,2011
303,302,"Dunes Family Health Care, P.C",OR,Lower Umpqua Hospital,17000,03/11/11,Theft,"Other Portable Electronic Device, Other",14/02/14,,11/03/11,NA,2011
304,303,"Metropolitan Community Health Services, Inc.",NC,,1263,5/18/2011,Unknown,E-mail,23/04/14,,18/05/11,NA,2011
305,304,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,,2000,04/01/11,"Loss, Improper Disposal",Paper,23/01/14,,01/04/11,NA,2011
306,305,"FOOTHILLS NEPHROLOGY, PC",SC,,1280,4/28/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,28/04/11,NA,2011
307,306,Sutter Gould Medical Foundation (SGMF),CA,Fidelity National Technology Imaging (FNTI),1192,5/23/2011,Loss,Paper,23/01/14,,23/05/11,NA,2011
308,307,Silverpop Systems Inc. Health and Welfare Plan,GA,,884,4/15/2011,Theft,Laptop,23/01/14,,15/04/11,NA,2011
309,308,New River Health Association,WV,,950,04/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/04/11,NA,2011
310,309,HealthCare Partners,CA,,15677,4/17/2011,Theft,Desktop Computer,23/01/14,,17/04/11,NA,2011
311,310,"Gene S. J. Liaw, MD. PS",WA,,1105,04/04/11,Loss,"Other Portable Electronic Device, Other",23/01/14,,04/04/11,NA,2011
312,311,Blue Cross and Blue Shield of Florida ,FL,,3463,04/11/11,Unauthorized Access/Disclosure,Other,23/01/14,,11/04/11,NA,2011
313,312,"NOL, LLC d/b/a Premier Radiology",TN,,810,05/07/11,Theft,Laptop,23/04/14,,07/05/11,NA,2011
314,313,"Advanced Diagnostic Imaging, P.C.",TN,,705,05/07/11,Theft,Laptop,23/04/14,,07/05/11,NA,2011
315,314,University of Missouri Health Care,MO,,1288,6/14/2011,Unknown,Paper,23/01/14,,14/06/11,NA,2011
316,315,Accendo,AZ,,175350,01/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/01/11,NA,2011
317,316,Ohio Health Plans,OH,"Area Agency on Aging, Ohio District 5",78042,06/03/11,Theft,Laptop,23/01/14,,03/06/11,NA,2011
318,317,"Gail Gillespie and Associates, LLC",LA,,2000,6/25/2011,Theft,"Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record",23/01/14,,25/06/11,NA,2011
319,318,Health Plan of San Mateo,CA,,694,4/25/2011,Unauthorized Access/Disclosure,Paper,23/01/14,,25/04/11,NA,2011
320,319,Department of Health Care Policy and Financing,CO,Department of Personnel and Administration,3589,05/06/11,Loss,Other,14/02/14,,06/05/11,NA,2011
321,320,Yanez Dental Corporation,CA,,10190,5/22/2011,Theft,"Desktop Computer, Network Server",23/01/14,,22/05/11,NA,2011
322,321,Jackson Health System,FL,,1562,10/01/08,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",23/01/14,,01/10/08,NA,2008
323,322,The Mount Sinai Hospital,NY,,712,06/07/11,Theft,Laptop,02/06/14,,07/06/11,NA,2011
324,323,Troy Regional Medical Center,AL,,880,3/22/2011,Unauthorized Access/Disclosure,Paper,23/01/14,,22/03/11,NA,2011
325,324,Lansing Community College,MI,AssureCare Risk Management,5000,05/09/11,Hacking/IT Incident,Network Server,24/03/14,,09/05/11,NA,2011
326,325,Dr Axel Velez,PR,,2800,6/19/2011,Theft,Desktop Computer,13/03/14,,19/06/11,NA,2011
327,326," DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,,7500,07/11/10,Theft,Paper,23/01/14,,11/07/10,NA,2010
328,327,Beth Israel Deaconess Medical Center,MA,,2021,4/17/2011,Hacking/IT Incident,Network Server,23/01/14,,17/04/11,NA,2011
329,328,"Gypsum Management and Supply, Inc. Medical and Dental Plan",GA,"Assurecare Risk Management, Inc.",25330,05/09/11,Unauthorized Access/Disclosure,Network Server,23/01/14,,09/05/11,NA,2011
330,329,"Andersen Air Force Base, Guam",VA,,700,5/13/2011,Improper Disposal,Paper,23/01/14,,13/05/11,NA,2011
331,330,Molina Medicare,CA,"RxAmerica, a subsidiary of CVS Caremark",4573,01/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/01/11,NA,2011
332,331,Windsor Health Plan,TN,RxAmerica LLC,1378,03/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/03/11,NA,2011
333,332,Health Care Service Corporation,IL,,501,6/28/2011,Theft,Paper,23/01/14,,28/06/11,NA,2011
334,333,University of Kentucky - UK HealthCare,KY,,3604,06/07/11,Theft,Laptop,23/04/14,,07/06/11,NA,2011
335,334,"Austin Center for Therapy and Assessment, LLC",TX,,1870,07/08/11,Theft,Laptop,24/04/14,,08/07/11,NA,2011
336,335,Treatment Services Northwest,OR,,1200,07/08/11,Theft,Desktop Computer,23/01/14,,08/07/11,NA,2011
337,336,Mills-Peninsula Health Services,CA,,1500,11/01/09,Unauthorized Access/Disclosure,Paper,23/01/14,,01/11/09,NA,2009
338,337,Brigham and Women's Hospital and Faulkner Hospital ,MA,,638,6/21/2011,Theft,Other Portable Electronic Device,30/06/14,,21/06/11,NA,2011
339,338,"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ",IN,"AssureCare Risk Management, Inc.",506,05/09/11,Hacking/IT Incident,Network Server,23/01/14,,09/05/11,NA,2011
340,339,Monmouth Medical Center,NJ,MedAssets,6443,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
341,340,Clara Maass Medical Center,NJ,Med Assets,8795,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
342,341,Newark Beth Israel Medical Center,NJ,MedAssets,15015,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
343,342,Saint Barnabas Medical Center,NJ,MedAssets,6179,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
344,343,Washington State Department of Social and Health Services,WA,,3950,07/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/07/11,NA,2011
345,344,St. Francis Hospital,DE,,948,06/01/11,Loss,"Other Portable Electronic Device, Other",10/06/14,,01/06/11,NA,2011
346,345,"Reznick Group, P.C.",MD,Assure Care Risk Management,2459,05/09/11,Hacking/IT Incident,Network Server,25/03/14,,09/05/11,NA,2011
347,346,The Neurological Institute of Savannah & Center for Spine,GA,,63425,07/02/11,Theft,"Other Portable Electronic Device, Other",23/01/14,,02/07/11,NA,2011
348,347,Kimball Medical Center,NJ,MedAssets,6785,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
349,348,Community Medical Center,NJ,MedAssets,6950,6/24/2011,Theft,"Other Portable Electronic Device, Other",19/06/14,,24/06/11,NA,2011
350,349,American Health Medicare ,PR,Accuprint ,5848,06/01/11,Theft,Other,03/06/14,,01/06/11,NA,2011
351,350,Texas Health Presbtyerian Hospital Flower Mound,TX,Texas Health Partners,10345,6/21/2011,Theft,Laptop,23/01/14,,21/06/11,NA,2011
352,351,Capron Rescue Squad District,IL,,815,02/05/11,Unauthorized Access/Disclosure,Laptop,23/01/14,,05/02/11,NA,2011
353,352,Cook County Health & Hospitals System,IL,MedAssets,32008,6/24/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,24/06/11,NA,2011
354,353,Lexington VAMC,KY,,1432,5/23/2011,Theft,"Laptop, Other Portable Electronic Device, Paper",03/06/14,,23/05/11,NA,2011
355,354,"Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC",PA,"SpaMed Solutions, LLC, Edward McMenamin President,",3000,8/14/2011,"Theft, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record, Paper",10/06/14,,14/08/11,NA,2011
356,355,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,,2000,07/01/11,Theft,"Desktop Computer, Network Server",23/01/14,,01/07/11,NA,2011
357,356,Stanford Hospital & Clinics,CA,"Multi-Speciality Collection Services, LLC",19651,09/09/10,Unauthorized Access/Disclosure,Other,23/01/14,,09/09/10,NA,2010
358,357,"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,,1800,7/27/2011,Theft,Paper,23/01/14,,27/07/11,NA,2011
359,358,NEA Baptist Clinic,AR,,3116,07/12/11,Hacking/IT Incident,Network Server,23/01/14,,12/07/11,NA,2011
360,359,Jonathan Noel MD,IN,,2059,7/13/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,13/07/11,NA,2011
361,360,Texas Health and Human Services Commission,TX,,1696,03/10/11,Theft,Laptop,23/01/14,,10/03/11,NA,2011
362,361,University of Wisconsin Oshkosh,WI,Living Healthy Community Clinic,3000,7/18/2011,Hacking/IT Incident,Desktop Computer,23/01/14,,18/07/11,NA,2011
363,362,Centro de Ortodoncia Inc.,PR,,2000,05/06/10,Theft,Paper,20/06/14,,06/05/10,NA,2010
364,363,"John T. Melvin, M.D.& Associates",TX,,2541,08/09/11,Theft,Paper,13/03/14,,09/08/11,NA,2011
365,364,"Diversified Resources, Inc.",GA,,863,08/11/11,Theft,Laptop,23/01/14,,11/08/11,NA,2011
366,365,VA Gulf Coast Veterans Health Care System,MS,,1797,7/21/2011,Theft,Paper,20/06/14,,21/07/11,NA,2011
367,366,Freda J Bowman  MD PA,TX,,1300,9/20/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,20/09/11,NA,2011
368,367,"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,,2367,08/12/11,Theft,"Laptop, Desktop Computer",14/02/14,,12/08/11,NA,2011
369,368,United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits,PA,"Benefits Administration Services, Inc.",4000,8/15/2011,Loss,"Other Portable Electronic Device, Other",24/03/14,,15/08/11,NA,2011
370,369,VA Illiana Health Care System,IL,,518,7/14/2011,Loss,Paper,23/01/14,,14/07/11,NA,2011
371,370,Health Texas Provider Network,TX,,1259,7/27/2011,Theft,Laptop,13/03/14,,27/07/11,NA,2011
372,371,Blue Cross of Northeastern Pennsylvania,PA,"AllOne Health Management Solutions, Inc.",507,09/09/11,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",24/03/14,,09/09/11,NA,2011
373,372,NYU Hospital for Joint Diseases Inventory Management Department,NY,,2600,6/23/2011,Theft,Paper,20/06/14,,23/06/11,NA,2011
374,373,WAYNE HIGHLANDS SCHOOL DISTRICT,PA,FIRST PRIORITY LIFE INSURANCE COMPANY,579,09/09/11,"Theft, Unauthorized Access/Disclosure",Paper,10/06/14,,09/09/11,NA,2011
375,374,"Summit Medical Group, PLLC",TN,,731,09/04/11,Theft,Paper,23/01/14,,04/09/11,NA,2011
376,375,MAPFRE Life,PR,,2209,08/05/11,Theft,Other,13/03/14,,05/08/11,NA,2011
377,376,American Continental Insurance Company,TN,Futurity First Insurance Group,690,7/28/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,28/07/11,NA,2011
378,377,United of Omaha Life Insurance Company,NE,Futurity First Insurance Group,1631,7/28/2011,Loss,"Other Portable Electronic Device, Other",23/01/14,,28/07/11,NA,2011
379,378,Mutual of Omaha Insurance Company,NE,Futurity First Insurance Group,705,7/28/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,28/07/11,NA,2011
380,379,Henry Ford Health System,MI,,520,08/08/11,Theft,Desktop Computer,23/01/14,,08/08/11,NA,2011
381,380,Indiana University,IN,,3266,8/16/2011,Theft,Laptop,23/01/14,,16/08/11,NA,2011
382,381,"Adult & Pediatric Dermatology, PC",MA,,2200,9/14/2011,Theft,"Other Portable Electronic Device, Other",23/01/14,,14/09/11,NA,2011
383,382,The Nemours Foundation,FL,,1055489,08/10/11,Loss,Other,23/01/14,,10/08/11,NA,2011
384,383,"California Industrial Medicine, Inc.",CA,"Thomas J O'Laughlin, MD",700,9/28/2011,"Theft, Unauthorized Access/Disclosure",Paper,14/02/14,,28/09/11,NA,2011
385,384,"InStep Foot Clinic, P.A.",MN,,2600,8/28/2011,Theft,"Laptop, Electronic Medical Record",23/01/14,,28/08/11,NA,2011
386,385,North Memorial,MN,"Accretive Health, Inc",6697,7/25/2011,Theft,Laptop,23/01/14,,25/07/11,NA,2011
387,386,"Lahey Clinic Hospital, Inc.",MA,,599,08/12/11,Theft,Laptop,13/03/14,,12/08/11,NA,2011
388,387,UnitedHealth Group health plan single affiliated covered entity,MN,Futurity First Insurance Group,3994,7/28/2011,Theft,Other,23/01/14,,28/07/11,NA,2011
389,388,Good Samaritan Hospital,MD,,1500,09/09/11,Theft,Paper,23/01/14,,09/09/11,NA,2011
390,389,"Amerigroup Community Care of New Mexico, Inc",NM,,1537,7/15/2011,Theft,Paper,23/01/14,,15/07/11,NA,2011
391,390,Florida Hospital,FL,,12784,08/10/11,Unauthorized Access/Disclosure,Electronic Medical Record,19/02/14,,10/08/11,NA,2011
392,391,"Thomas Jefferson University Hospitals, Inc.",PA,,3150,09/06/11,Theft,Other,23/01/14,,06/09/11,NA,2011
393,392,Lankenau Medical Center,PA,,500,09/06/11,Theft,Other,23/01/14,,06/09/11,NA,2011
394,393,"Spectrum Health Ssytems, Inc.  ",MA,,14750,8/24/2011,Theft,Desktop Computer,13/03/14,,24/08/11,NA,2011
395,394,Conway Regional Medical Center,AR,,1472,8/24/2011,Loss,Other,23/01/14,,24/08/11,NA,2011
396,395,Concordia Plan Services,MO,"HITS Scanning Solutions, Inc.",7059,05/10/11,Loss,Other,23/01/14,,10/05/11,NA,2011
397,396,Stone Oak Urgent Care & Family Practice,TX,Stone Oak Urgent Care & Family Practice,6672,10/23/2011,"Theft, Loss",Desktop Computer,23/01/14,,23/10/11,NA,2011
398,397,Indiana University School of Optometry,IN,,757,08/12/11,Unauthorized Access/Disclosure,Network Server,23/01/14,,12/08/11,NA,2011
399,398,"Brevard Emergency Services, P.A.",FL,,2200,8/26/2011,Theft,Paper,23/04/14,,26/08/11,NA,2011
400,399,Georgetown University Hospital,DC,,1526,09/09/11,Loss,"Other Portable Electronic Device, Other",24/03/14,,09/09/11,NA,2011
401,400,Morris Heights Health Center,NY,,927,8/27/2011,Theft,Laptop,03/06/14,,27/08/11,NA,2011
402,401,network180,MI,Thresholds Inc.,1100,9/16/2011,Theft,Paper,24/03/14,,16/09/11,NA,2011
